"runtime (min)","vote_average (%)"
"89","70.23"
"90","62.89"
"78","44.72"
"98","70.85"
"141","70.55"
"91","70.37"
"81","59.28"
"90","64.62"
"113","75.47"
"131","70"
"109","57.9"
"88","76.31"
"92","56"
"95","65.97"
"105","56.81"
"108","57.6"
"113","67.8"
"91","60.69"
"105","69"
"101","67.16"
"78","42.92"
"96","48.15"
"109","74.24"
"129","79.89"
"132","63.93"
"103","68.53"
"106","57.35"
"96","67.79"
"106","59.25"
"113","62.48"
"133","60.76"
"104","63.94"
"90","55.35"
"84","57.34"
"123","64.09"
"70","52"
"130","62.81"
"140","74.39"
"93","61.99"
"110","64.75"
"115","59.1"
"117","68"
"101","60.55"
"128","62.76"
"116","65"
"68","66.6"
"87","63.29"
"85","54.58"
"116","58.31"
"194","79.05"
"123","63.75"
"82","57.99"
"60","71.98"
"95","72.27"
"127","77.49"
"103","64.6"
"139","72"
"110","38"
"99","66.85"
"85","61"
"125","78.47"
"105","64.38"
"132","64.75"
"95","73.05"
"95","75.55"
"34","77"
"103","62.88"
"92","56.06"
"134","79.94"
"86","63"
"137","71.31"
"112","59.46"
"133","84"
"109","69.26"
"111","78.26"
"146","73.02"
"114","68.49"
"97","55.09"
"132","63.74"
"114","71"
"110","58"
"118","67.67"
"117","70.71"
"97","58.28"
"143","68.76"
"92","52.35"
"113","79.02"
"140","74.51"
"82","76"
"106","71.34"
"86","58.15"
"106","65"
"80","78.12"
"113","75.05"
"96","68.86"
"124","63.6"
"107","76"
"99","47"
"107","63.56"
"39","72.43"
"138","70.23"
"98","55.03"
"96","72.62"
"116","64.34"
"120","67.89"
"13","69"
"100","74"
"137","70.07"
"89","80.24"
"122","73.27"
"133","73.31"
"106","73"
"108","82.4"
"104","77"
"107","72.06"
"90","77"
"202","85.71"
"94","70"
"80","69"
"137","71.15"
"192","76.11"
"123","63.84"
"180","81.3"
"96","72.34"
"108","66.38"
"110","71"
"100","67.81"
"100","74.15"
"98","66.09"
"127","80.55"
"137","73.48"
"121","54.37"
"106","57.43"
"118","65.66"
"88","46.13"
"113","70"
"105","62"
"50","62"
"95","70.87"
"120","75.02"
"110","56.31"
"103","69"
"96","61.09"
"117","60"
"125","77.53"
"115","55.44"
"85","70.18"
"69","55.83"
"106","67.57"
"114","63.28"
"110","67"
"95","66.3"
"112","75"
"103","72.89"
"107","67.98"
"84","63.64"
"90","45"
"92","55.85"
"111","61"
"114","63.71"
"109","72.99"
"136","83.2"
"96","70.16"
"92","75.97"
"99","76"
"90","64.68"
"100","68.25"
"156","69.75"
"106","61.5"
"101","0"
"122","62.7"
"165","77.85"
"87","63"
"102","72.28"
"118","58.4"
"91","77"
"172","68.86"
"144","69.8"
"109","45.51"
"84","59.46"
"93","66.94"
"85","58.42"
"111","63.52"
"97","62.79"
"99","40.1"
"121","70.66"
"137","67.45"
"94","71"
"89","57.38"
"119","69.86"
"112","69.47"
"151","78.32"
"119","77"
"131","62"
"100","78.96"
"106","69.69"
"100","65.14"
"95","56"
"90","50"
"131","69.84"
"90","68.21"
"120","70"
"109","65.73"
"105","58.2"
"95","66"
"118","70.02"
"151","75.43"
"94","73.96"
"78","61"
"92","77.25"
"89","66"
"108","68.25"
"110","67.49"
"102","75.28"
"126","75.64"
"130","65.26"
"127","57.3"
"118","66.98"
"118","76.78"
"105","56.91"
"94","69.15"
"83","74.68"
"104","72.95"
"67","57"
"134","78.23"
"123","73.82"
"133","77.25"
"126","0"
"110","68.89"
"137","66.18"
"132","75.4"
"139","69.15"
"100","52.51"
"115","70.81"
"96","79.58"
"103","72.49"
"151","71.25"
"91","72.38"
"98","68.33"
"120","71.32"
"142","63.91"
"160","81.56"
"123","68.01"
"121","79.93"
"108","65.87"
"127","70.23"
"101","77.3"
"108","80.91"
"121","71.05"
"93","70.29"
"95","65.42"
"115","70.65"
"116","63"
"110","63.34"
"98","58.37"
"103","63.99"
"108","62"
"105","78.77"
"103","69.29"
"215","70"
"134","58.87"
"98","76.28"
"102","61.15"
"117","79.51"
"91","70.43"
"162","74.16"
"91","58.97"
