"sum ( revenue )","budget","popularity"
"384335608","100000000","13.4687"
"624000000","225000000","15.6018"
"371000","9000000","8.8795"
"48500000","37000000","12.3473"
"12900000","19000000","15.3017"
"0","0","271.0703"
"8685794","49000000","10.4768"
"0","0","9.7563"
"48782670","25000000","9.4503"
"10139416","1000000","15.4792"
"574480841","110000000","8.0688"
"0","0","7.6545"
"1600000","812000","6.8595"
"70595464","76000000","18.1629"
"0","0","4.3692"
"61621140","10000000","8.0427"
"22044058","0","7.9578"
"0","20000000","10.385"
"356296601","15000000","6.9083"
"35739755","20000000","12.8394"
"0","0","14.3629"
"138530565","6000000","15.0971"
"141200000","9000000","10.3976"
"85446075","14000000","8.4976"
"0","0","7.5182"
"133000000","25000000","10.8566"
"65796862","13000000","9.5084"
"45491656","10500000","8.5324"
"173921954","10000000","11.7925"
"43004381","8000000","7.1988"
"0","72000000","7.966"
"32704700","15000000","49.1722"
"296578797","30000000","18.5585"
"694713380","145000000","21.6573"
"668045518","225000000","28.4355"
"52390236","10000000","11.7647"
"76669554","30000000","14.6843"
"36690067","2200000","10.9018"
"0","0","8.0292"
"14575193","1000000","8.8035"
"325300000","100000000","8.3226"
"77672685","2000000","8.3625"
"216600000","25000000","19.817"
"237382724","112000000","9.874"
"414757293","180000000","247.2469"
"0","0","9.8223"
"20572691","12000000","8.0342"
"102000000","90000000","9.4303"
"29625761","45000000","8.0753"
"215863606","68000000","11.0399"
"15397270","40000000","10.1501"
"56500000","25000000","12.1289"
